Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785324615,20,POST,/predict,8.000000,0.000000,830,980,1100,1200,1500,1500,1600,1700,1700,1700,1700,181,0,820,1041.8780812136931,106.1095999320969,4119.076099945232,224.1988950276243
1785324615,20,,Aggregated,9.300000,0.000000,870,1100,1200,1300,1500,1700,1900,2100,2100,2100,2100,219,0,870,1118.0417799070842,106.1095999320969,4119.076099945232,208.7214611872146
1785324616,20,GET,/health,1.500000,0.000000,1400,1700,1700,1700,1900,2100,2100,2100,2100,2100,2100,39,0,1400,1485.9773538475379,172.16859990730882,4045.9925000322983,135.0
1785324616,20,POST,/predict,8.100000,0.000000,810,990,1100,1200,1300,1500,1600,1700,1700,1700,1700,192,0,830,1034.553057289789,106.1095999320969,4119.076099945232,224.15625
1785324616,20,,Aggregated,9.600000,0.000000,900,1100,1200,1300,1500,1700,1900,2100,2100,2100,2100,231,0,880,1110.767548916422,106.1095999320969,4119.076099945232,209.1038961038961
1785324617,20,GET,/health,1.400000,0.000000,1400,1600,1700,1700,1900,2100,2100,2100,2100,2100,2100,43,0,1400,1493.3450790690692,172.16859990730882,4045.9925000322983,135.0
1785324617,20,POST,/predict,7.900000,0.000000,790,930,1100,1100,1200,1500,1600,1700,1700,1700,1700,199,0,820,1013.5260331649193,106.1095999320969,4119.076099945232,224.15075376884423
1785324617,20,,Aggregated,9.300000,0.000000,830,1100,1200,1300,1500,1700,1900,2100,2100,2100,2100,242,0,870,1098.783136362764,106.1095999320969,4119.076099945232,208.3099173553719
1785324618,20,GET,/health,1.400000,0.000000,1400,1500,1700,1700,1900,2100,2100,2100,2100,2100,2100,45,0,1400,1449.0710066657307,172.16859990730882,4045.9925000322983,135.0
1785324618,20,POST,/predict,7.700000,0.000000,710,930,1000,1100,1200,1500,1600,1700,1700,1700,1700,208,0,800,986.594199999952,106.1095999320969,4119.076099945232,224.15384615384616
1785324618,20,,Aggregated,9.100000,0.000000,770,1000,1200,1200,1500,1700,1900,2100,2100,2100,2100,253,0,840,1068.8529205531538,106.1095999320969,4119.076099945232,208.29644268774703
